the, 0.016379785255917628
of, 0.009944618398627323
in, 0.00887576812446826
and, 0.008494019057892408
a, 0.0065811978371111595
to, 0.0063361341866372605
was, 0.0042765197946589
is, 0.003440243151461428
for, 0.0034025214757093143
as, 0.0033869041544957387
on, 0.0033702792204591964
s, 0.0031971135040942066
by, 0.003076370997314656
with, 0.0029447981017910055
he, 0.0026448415481448587
from, 0.002595930652093457
at, 0.002580252825151497
that, 0.002375212646908951
his, 0.0021437453380574473
it, 0.0020799813271855073
an, 0.001922173437655003
were, 0.0015579617120519357
also, 0.001481130910000947
which, 0.001447286772950884
are, 0.0014044622331318285
be, 0.0013514510553677911
or, 0.0013066772195811831
first, 0.001293742152442827
this, 0.001281662235372457
new, 0.0012617680387369324
had, 0.0012511937112736533
has, 0.0011769813973551656
one, 0.0011358898360603106
references, 0.0011280784791313735
she, 0.0011104042068666782
after, 0.0011093122309104024
her, 0.0011001730636163503
their, 0.0010965521845488781
who, 0.001066979643405562
its, 0.0010641884697263392
but, 0.001012729260694258
not, 0.0010104406559452266
american, 0.0010061159749072362
two, 0.0009966681048423
people, 0.0009834352806491668
they, 0.0009697550713039764
have, 0.0009090027391194379
all, 0.0008872130291238304
been, 0.0008573321676097935
other, 0.0008400812314470213
time, 0.0008149682877043545
during, 0.0008065599046940226
university, 0.0007862493786948841
when, 0.0007852970933032575
school, 0.0007756607769812387
united, 0.0007727971069333856
may, 0.0007699682459036287
de, 0.0007530015025274734
into, 0.0007497965446939649
national, 0.0007496796083825599
i, 0.0007487454472385551
year, 0.0007448553217500864
world, 0.0007429297973448043
state, 0.0007214330395634704
b, 0.0007180672487182954
there, 0.0007163067802961394
over, 0.0007125880731869631
up, 0.0007086107453445585
born, 0.0007044431968568957
players, 0.0007039153536958435
film, 0.0006978153754962608
city, 0.0006976154598636779
no, 0.0006909369682038542
external, 0.000685210667977154
links, 0.0006826772413825661
more, 0.000681486044614223
states, 0.0006797517830352862
century, 0.0006694423257309585
years, 0.0006613773683899896
south, 0.0006563865642020809
would, 0.0006492870996299725
season, 0.0006438510919965801
three, 0.0006423633725446689
later, 0.0006418228398064055
only, 0.0006380442848802167
between, 0.0006331276924070098
out, 0.0006312799837808802
under, 0.0006275240380439198
war, 0.0006259513701046904
team, 0.0006250586628136914
where, 0.0006249954429588948
about, 0.000618931940154989
can, 0.000618349092913812
st, 0.0006180635611256297
most, 0.000613485187591969
e, 0.0006052164276739886
county, 0.0005997178466255479
part, 0.0005971120650323739
series, 0.0005918622923555907
second, 0.0005913877572593317
made, 0.0005878520996420735
him, 0.0005865583203813938
d, 0.0005851078210990979
history, 0.0005848257597721071
then, 0.0005846566880372574
some, 0.0005795950964698048
while, 0.0005782226249269774
north, 0.0005766007643987168
league, 0.0005718630450650652
known, 0.000565614494721
k, 0.0005627032797365679
men, 0.0005586688551850483
such, 0.0005566898744517875
used, 0.0005542930554428739
co, 0.0005453464366750073
football, 0.0005450597818918269
district, 0.000534610533871337
became, 0.0005325085619068265
music, 0.0005323697842671159
women, 0.0005318669998208757
see, 0.0005308887379998078
high, 0.0005290395471871295
life, 0.0005280454341760556
than, 0.0005263738406312271
c, 0.0005252163805479943
including, 0.000522338399080842
being, 0.0005219430154688742
g, 0.0005211700023597796
before, 0.0005153579092216687
family, 0.0005139865089709667
so, 0.0005117660949746995
group, 0.000510279472193206
through, 0.00050971027343923
many, 0.0005073937488482455
early, 0.0005073831719766627
against, 0.0005069447547372717
well, 0.0005059257985343581
films, 0.0005058791363543399
both, 0.0005042896081615147
these, 0.0005041600654873431
west, 0.000498852995631191
international, 0.0004940608889196592
career, 0.0004938638550575846
john, 0.0004926868370633329
march, 0.0004877921361124075
british, 0.00048203745917639146
work, 0.00048136366105605284
september, 0.0004807936466931826
games, 0.00048071467626328824
until, 0.00047737600847273104
game, 0.0004771239255344896
york, 0.00047696237720442426
since, 0.0004768454032303503
house, 0.0004762671913284592
living, 0.00047622298079335587
album, 0.0004732052241284345
following, 0.00047257719708292096
october, 0.0004725228432265404
company, 0.00046948212131624217
club, 0.00046874384228736684
june, 0.000466830393595713
four, 0.00046576305670546395
january, 0.0004629685646253777
name, 0.0004623565457002731
august, 0.00046183722881022293
u, 0.00046124594053824304
area, 0.000461215611253628
july, 0.00046056923718905987
them, 0.0004599523111366287
t, 0.00045993753714267674
government, 0.00045800401574412516
align, 0.0004559727832220916
f, 0.0004547901776013479
based, 0.0004547412187211011
general, 0.00045424787516294885
april, 0.00045418141862574345
however, 0.00045389197987708035
la, 0.000453349319672334
played, 0.00045326553267920256
released, 0.0004529228063917459
births, 0.0004518546135184672
number, 0.0004488855424151568
m, 0.000448622927515894
college, 0.0004475584755399156
al, 0.0004467889071557596
re, 0.0004443706843556232
won, 0.0004427378544627572
november, 0.0004418446954938551
english, 0.00044083106367339954
di, 0.00044028719894315045
day, 0.0004378463894805291
former, 0.00043679240984833553
december, 0.00043605920802823595
center, 0.00043361669787339737
sc, 0.00042611444884819354
list, 0.00042504110249755615
place, 0.00042503237578240654
party, 0.00042493928710413446
left, 0.00042488567491467635
several, 0.0004247260717923244
best, 0.0004244209414279304
l, 0.00042335989852239423
end, 0.000423061515617266
ko, 0.0004213274662979646
will, 0.00042084891936796623
member, 0.00041958018367602796
members, 0.0004186746223197891
called, 0.0004173953281390063
o, 0.0004157769448447373
east, 0.0004146115893778827
public, 0.00041423400219415044
home, 0.00041124613247622637
w, 0.00041053439976802776
television, 0.000406907348830037
february, 0.00040548664872440854
same, 0.0004050260156175941
church, 0.0004030248139797967
long, 0.00040191268540560666
